word_key,language_key,value
A Coruña,es,A Coruña
A Coruña,en,A Coruña
A Coruña,ru,Ла-Корунья
Albacete,es,Albacete
Albacete,en,Albacete
Albacete,ru,Альбасете
Alicante,es,Alicante
Alicante,en,Alicante
Alicante,ru,Аликанте
Almería,es,Almería
Almería,en,Almeria
Almería,ru,Альмерия
Andalucía,es,Andalucía
Andalucía,en,Andalusia
Andalucía,ru,Андалусия
Aragón,es,Aragón
Aragón,en,Aragon
Aragón,ru,Арагон
Asturias,es,Asturias
Asturias,en,Asturias
Asturias,ru,Астурия
Autonomía,es,Autonomía
Autonomía,en,Autonomy
Autonomía,ru,Автономия
Badajoz,es,Badajoz
Badajoz,en,Badajoz
Badajoz,ru,Бадахос
Barcelona,es,Barcelona
Barcelona,en,Barcelona
Barcelona,ru,Барселона
Bizkaia,es,Bizkaia
Bizkaia,en,Biscay
Bizkaia,ru,Бискайя
Burgos,es,Burgos
Burgos,en,Burgos
Burgos,ru,Бургос
Canarias,es,Canarias
Canarias,en,Canary Islands
Canarias,ru,Канарские острова
Cantabria,es,Cantabria
Cantabria,en,Cantabria
Cantabria,ru,Кантабрия
Castellón,es,Castellón
Castellón,en,Castellon
Castellón,ru,Кастельон
Castilla y León,es,Castilla y León
Castilla y León,en,Castile and León
Castilla y León,ru,Кастилия и Леон
Castilla-La Mancha,es,Castilla-La Mancha
Castilla-La Mancha,en,Castile-La Mancha
Castilla-La Mancha,ru,Кастилия-Ла-Манча
Cataluña,es,Cataluña
Cataluña,en,Catalonia
Cataluña,ru,Каталония
Ceuta,es,Ceuta
Ceuta,en,Ceuta
Ceuta,ru,Сеута
Ciudad Real,es,Ciudad Real
Ciudad Real,en,Ciudad Real
Ciudad Real,ru,Сьюдад-Реаль
Comunidad Foral de Navarra,es,Comunidad Foral de Navarra
Comunidad Foral de Navarra,en,Chartered Community of Navarre
Comunidad Foral de Navarra,ru,Форалльное сообщество Наварры
Comunidad de Madrid,es,Comunidad de Madrid
Comunidad de Madrid,en,Community of Madrid
Comunidad de Madrid,ru,Мадридское сообщество
Comunitat Valenciana,es,Comunitat Valenciana
Comunitat Valenciana,en,Valencian Community
Comunitat Valenciana,ru,Валенсийское сообщество
Cuenca,es,Cuenca
